plot,treatment,date,interval,exp_week,ag_biomass
111,summer,2000-03-02,10,36,14.947
111,summer,2000-04-02,11,40,18.144
111,summer,2000-04-25,12,43,21.853
111,summer,2000-05-13,13,46,16.958
111,summer,2000-06-01,14,49,19.442
111,summer,2000-06-25,15,52,24.367
111,summer,2000-07-16,16,55,21.394
111,summer,2000-07-31,17,57,15.003
111,summer,2000-09-22,19,65,13.745
111,summer,2000-10-12,20,68,15.021
111,summer,2000-11-03,21,71,15.489
113,summer,1999-07-29,0,5,52.59
113,summer,1999-08-12,1,7,15.508
113,summer,1999-08-29,2,9,18.485
113,summer,1999-11-03,5,18,12.637
113,summer,1999-11-21,6,21,10.968
113,summer,1999-12-12,7,24,10.487
113,summer,2000-01-10,8,28,14.118
113,summer,2000-02-06,9,32,12.413
113,summer,2000-03-02,10,36,13.784
113,summer,2000-04-02,11,40,14.779
113,summer,2000-04-25,12,43,17.016
113,summer,2000-05-13,13,46,12.921
113,summer,2000-06-01,14,49,18.784
113,summer,2000-06-25,15,52,18.108
113,summer,2000-07-16,16,55,17.674
113,summer,2000-07-31,17,57,11.661
113,summer,2000-09-22,19,65,12.232
113,summer,2000-10-12,20,68,12.313
113,summer,2000-11-03,21,71,12.932
115,summer,1999-07-29,0,5,70.51
115,summer,1999-08-12,1,7,16.458
115,summer,1999-08-29,2,9,19.31
115,summer,1999-11-03,5,18,10.508
115,summer,1999-11-21,6,21,11.781
115,summer,1999-12-12,7,24,14.403
115,summer,2000-01-10,8,28,12.722
115,summer,2000-02-06,9,32,17.036
115,summer,2000-03-02,10,36,12.811
115,summer,2000-04-02,11,40,14.2
115,summer,2000-04-25,12,43,20.622
115,summer,2000-05-13,13,46,12.761
115,summer,2000-06-01,14,49,19.35
115,summer,2000-06-25,15,52,20.5
115,summer,2000-07-16,16,55,18.783
115,summer,2000-07-31,17,57,17.558
115,summer,2000-09-22,19,65,13.386
115,summer,2000-10-12,20,68,13.606
115,summer,2000-11-03,21,71,12.097
117,summer,1999-07-29,0,5,75.63
117,summer,1999-08-12,1,7,14.81
117,summer,1999-08-29,2,9,16.675
117,summer,1999-11-03,5,18,12.283
117,summer,1999-11-21,6,21,13.117
117,summer,1999-12-12,7,24,13.558
117,summer,2000-01-10,8,28,16.425
117,summer,2000-02-06,9,32,16.958
117,summer,2000-03-02,10,36,18.3
117,summer,2000-04-02,11,40,24.383
117,summer,2000-04-25,12,43,19.867
117,summer,2000-05-13,13,46,21.792
117,summer,2000-06-01,14,49,20.117
117,summer,2000-06-25,15,52,33.825
117,summer,2000-07-16,16,55,15.592
117,summer,2000-07-31,17,57,20.75
117,summer,2000-09-22,19,65,17.5
117,summer,2000-10-12,20,68,20.358
117,summer,2000-11-03,21,71,15.667
119,summer,1999-07-29,0,5,89.173
119,summer,1999-08-12,1,7,13.628
119,summer,1999-08-29,2,9,16.25
119,summer,1999-11-03,5,18,12.386
119,summer,1999-11-21,6,21,11.423
119,summer,1999-12-12,7,24,14.154
119,summer,2000-01-10,8,28,11.392
119,summer,2000-02-06,9,32,16.173
119,summer,2000-03-02,10,36,12.985
119,summer,2000-04-02,11,40,17.623
119,summer,2000-04-25,12,43,15.542
119,summer,2000-05-13,13,46,12.531
119,summer,2000-06-01,14,49,17.427
119,summer,2000-06-25,15,52,17.277
119,summer,2000-07-16,16,55,18.254
119,summer,2000-07-31,17,57,18.431
119,summer,2000-09-22,19,65,13.185
119,summer,2000-10-12,20,68,14.108
119,summer,2000-11-03,21,71,13.908
121,summer,1999-07-29,0,5,50.56
121,summer,1999-08-12,1,7,11.51
121,summer,1999-08-29,2,9,12.728
121,summer,1999-11-03,5,18,10.85
121,summer,1999-11-21,6,21,11.675
121,summer,1999-12-12,7,24,16.67
121,summer,2000-01-10,8,28,10.092
121,summer,2000-02-06,9,32,13.308
121,summer,2000-03-02,10,36,12.113
121,summer,2000-04-02,11,40,15.671
121,summer,2000-04-25,12,43,11.158
121,summer,2000-05-13,13,46,13.871
121,summer,2000-06-01,14,49,14.088
121,summer,2000-06-25,15,52,11.667
121,summer,2000-07-16,16,55,13.625
121,summer,2000-07-31,17,57,12.375
121,summer,2000-09-22,19,65,9.433
121,summer,2000-10-12,20,68,10.542
121,summer,2000-11-03,21,71,11.867
123,summer,1999-07-29,0,5,61.23
123,summer,1999-08-12,1,7,12.17
123,summer,1999-08-29,2,9,13.585
123,summer,1999-11-03,5,18,13.975
123,summer,1999-11-21,6,21,10.883
123,summer,1999-12-12,7,24,13.367
123,summer,2000-01-10,8,28,14.858
123,summer,2000-02-06,9,32,15.125
123,summer,2000-03-02,10,36,16.817
123,summer,2000-04-02,11,40,24.075
123,summer,2000-04-25,12,43,16.467
123,summer,2000-05-13,13,46,18.017
123,summer,2000-06-01,14,49,18.95
123,summer,2000-06-25,15,52,26.358
123,summer,2000-07-16,16,55,13.475
123,summer,2000-07-31,17,57,14.692
123,summer,2000-09-22,19,65,15.808
123,summer,2000-10-12,20,68,15.625
123,summer,2000-11-03,21,71,13.4
125,summer,1999-07-29,0,5,79.73
125,summer,1999-08-12,1,7,12.848
125,summer,1999-08-29,2,9,15.268
125,summer,1999-11-03,5,18,10.83
125,summer,1999-11-21,6,21,10.897
125,summer,1999-12-12,7,24,17.397
125,summer,2000-01-10,8,28,10.403
125,summer,2000-02-06,9,32,15.681
125,summer,2000-03-02,10,36,14.969
125,summer,2000-04-02,11,40,19.056
125,summer,2000-04-25,12,43,16
125,summer,2000-05-13,13,46,18.631
125,summer,2000-06-01,14,49,17.728
125,summer,2000-06-25,15,52,26.025
125,summer,2000-07-16,16,55,12.191
125,summer,2000-07-31,17,57,14.813
125,summer,2000-09-22,19,65,14.388
125,summer,2000-10-12,20,68,15.584
125,summer,2000-11-03,21,71,11.622
127,summer,1999-07-29,0,5,61.33
127,summer,1999-08-12,1,7,10.557
127,summer,1999-08-29,2,9,15.36
127,summer,1999-11-03,5,18,14.47
127,summer,1999-11-21,6,21,12.57
127,summer,1999-12-12,7,24,12.84
127,summer,2000-01-10,8,28,14.34
127,summer,2000-02-06,9,32,15.28
127,summer,2000-03-02,10,36,15.59
127,summer,2000-04-02,11,40,25.47
127,summer,2000-04-25,12,43,16.82
127,summer,2000-05-13,13,46,18.49
127,summer,2000-06-01,14,49,17.15
127,summer,2000-06-25,15,52,30.91
127,summer,2000-07-16,16,55,16.99
127,summer,2000-07-31,17,57,17.38
127,summer,2000-09-22,19,65,19.99
127,summer,2000-10-12,20,68,18.31
127,summer,2000-11-03,21,71,17.03
131,winter,2000-02-06,0,32,74.933
131,winter,2000-02-29,1,35,14.672
131,winter,2000-04-01,2,40,21.308
131,winter,2000-04-27,3,44,28.88
131,winter,2000-05-15,4,46,18.78
131,winter,2000-06-08,5,50,27.255
131,winter,2000-06-29,6,53,26.795
131,winter,2000-07-17,7,55,25.12
131,winter,2000-08-05,8,58,19.545
131,winter,2000-09-23,10,65,13.608
131,winter,2000-10-14,11,68,16.27
131,winter,2000-11-06,12,71,16.003
131,winter,2000-12-04,13,75,14.585
133,winter,2000-02-06,0,32,59.36
133,winter,2000-02-29,1,35,14.471
133,winter,2000-04-01,2,40,13.489
133,winter,2000-04-27,3,44,22.345
133,winter,2000-05-15,4,46,16.713
133,winter,2000-06-08,5,50,15.505
133,winter,2000-06-29,6,53,24.229
133,winter,2000-07-17,7,55,12.337
133,winter,2000-08-05,8,58,13.139
133,winter,2000-09-23,10,65,11.124
133,winter,2000-10-14,11,68,10.653
133,winter,2000-11-06,12,71,10.887
133,winter,2000-12-04,13,75,13.305
135,winter,2000-02-06,0,32,60.96
135,winter,2000-02-29,1,35,13.975
135,winter,2000-04-01,2,40,14.082
135,winter,2000-04-27,3,44,22.55
135,winter,2000-05-15,4,46,17.952
135,winter,2000-06-08,5,50,17.798
135,winter,2000-06-29,6,53,25.673
135,winter,2000-07-17,7,55,13.685
135,winter,2000-08-05,8,58,13.74
135,winter,2000-09-23,10,65,13.39
135,winter,2000-10-14,11,68,10.773
135,winter,2000-11-06,12,71,11.78
135,winter,2000-12-04,13,75,14.92
137,winter,2000-02-06,0,32,51.36
137,winter,2000-02-29,1,35,16.69
137,winter,2000-04-01,2,40,23.64
137,winter,2000-04-27,3,44,15.435
137,winter,2000-05-15,4,46,16.082
137,winter,2000-06-08,5,50,22.042
137,winter,2000-06-29,6,53,12.367
137,winter,2000-07-17,7,55,13.637
137,winter,2000-08-05,8,58,12.39
137,winter,2000-09-23,10,65,12.51
137,winter,2000-10-14,11,68,14.078
137,winter,2000-11-06,12,71,10.038
137,winter,2000-12-04,13,75,16.42
139,winter,2000-02-06,0,32,46.4
139,winter,2000-02-29,1,35,13.53
139,winter,2000-04-01,2,40,18.525
139,winter,2000-04-27,3,44,14.655
139,winter,2000-05-15,4,46,16.988
139,winter,2000-06-08,5,50,14.625
139,winter,2000-06-29,6,53,27.898
139,winter,2000-07-17,7,55,12.573
139,winter,2000-08-05,8,58,15.538
139,winter,2000-09-23,10,65,12.77
139,winter,2000-10-14,11,68,13.148
139,winter,2000-11-06,12,71,11.208
139,winter,2000-12-04,13,75,13.598
